Filename                                             Regions    Missed Regions     Cover   Functions  Missed Functions  Executed       Lines      Missed Lines     Cover    Branches   Missed Branches     Cover
layer1/culture/celestial_cemeteries.rs                   131                 2    98.47%           7                 0   100.00%         107                 1    99.07%           0                 0         -
layer1/culture/cult_of_first_ship.rs                      88                 0   100.00%           4                 0   100.00%          62                 0   100.00%           0                 0         -
layer1/culture/cultural_artifacts.rs                     118                 5    95.76%           7                 1    85.71%         100                 8    92.00%           0                 0         -
layer1/culture/cultural_influence.rs                      41                 1    97.56%           3                 0   100.00%          28                 0   100.00%           0                 0         -
layer1/culture/festivals.rs                              189                 2    98.94%           9                 0   100.00%         134                 1    99.25%           0                 0         -
layer1/culture/funeral.rs                                214                45    78.97%          13                 3    76.92%         137                36    73.72%           0                 0         -
layer1/culture/gastronomers.rs                            73                 0   100.00%           5                 0   100.00%          61                 0   100.00%           0                 0         -
layer1/culture/linguistics.rs                            230                 7    96.96%           9                 0   100.00%         137                 7    94.89%           0                 0         -
layer1/culture/memorial_revolt.rs                         86                 1    98.84%           5                 0   100.00%          73                 1    98.63%           0                 0         -
layer1/culture/nostalgia.rs                               84                 1    98.81%           4                 0   100.00%          74                 1    98.65%           0                 0         -
layer1/culture/totems.rs                                 198                 9    95.45%           6                 0   100.00%         164                10    93.90%           0                 0         -
layer1/day_night.rs                                      189                 1    99.47%          11                 0   100.00%         156                 1    99.36%           0                 0         -
layer1/deep_crust_resonance.rs                           134                10    92.54%           8                 2    75.00%          86                 6    93.02%           0                 0         -
layer1/defense.rs                                        203                16    92.12%          11                 0   100.00%         163                16    90.18%           0                 0         -
layer1/digital_immortality.rs                            170                 5    97.06%           6                 0   100.00%         151                 4    97.35%           0                 0         -
layer1/diplomacy/factions/rivals.rs                      221                 3    98.64%          10                 0   100.00%         136                 2    98.53%           0                 0         -
layer1/diplomacy/wards.rs                                136                 3    97.79%           5                 0   100.00%          99                 1    98.99%           0                 0         -
layer1/direct_link.rs                                    655                28    95.73%          18                 0   100.00%         467                19    95.93%           0                 0         -
